avg_context_chars,boundary_avg_context_chars,boundary_chunk_recall_at_k,boundary_hit_rate_at_k,boundary_mrr,boundary_ndcg_at_k,boundary_precision_at_k,boundary_search_ms_p50,boundary_search_ms_p95,chunk_recall_at_k,chunk_size,chunker,chunks_per_doc,destroyed_gold_queries,dev_avg_context_chars,dev_chunk_recall_at_k,dev_hit_rate_at_k,dev_mrr,dev_ndcg_at_k,dev_precision_at_k,dev_search_ms_p50,dev_search_ms_p95,group,hit_rate_at_k,mode,mrr,n_chunks,n_docs,name,ndcg_at_k,overlap,precision_at_k,queries,search_ms_p50,search_ms_p95,subset,test_avg_context_chars,test_chunk_recall_at_k,test_hit_rate_at_k,test_mrr,test_ndcg_at_k,test_precision_at_k,test_search_ms_p50,test_search_ms_p95,top_k
1301.2642857142857,1322.4857142857143,0.7142857142857143,0.7142857142857143,0.5552380952380952,0.5938220298569523,0.1428571428571429,90.31704200000057,95.24965810000054,0.7928571428571428,300,chunk_fixed,10.0,,1305.375,0.65,0.65,0.5070833333333333,0.5427579656505577,0.13000000000000006,88.60518750000001,92.92182144999984,chunking,0.7928571428571428,hybrid,0.616547619047619,700,70,chunk_fixed/size=300/overlap=0,0.6602322105990444,0,0.15857142857142822,140,89.71487549999968,94.03468509999894,core,1299.62,0.85,0.85,0.6603333333333334,0.7072219085784393,0.1699999999999997,90.27452099999955,94.03468509999894,
1279.0928571428572,1302.7142857142858,0.6857142857142857,0.6857142857142857,0.4623809523809524,0.5166719385570075,0.13714285714285718,118.14941699999792,121.05495379999809,0.8,300,chunk_fixed,13.0,,1278.65,0.625,0.625,0.41625000000000006,0.4682025296707077,0.12500000000000006,117.53181250000111,121.34899165000074,chunking,0.8,hybrid,0.5439285714285713,910,70,chunk_fixed/size=300/overlap=60,0.6074306274756599,60,0.15999999999999967,140,117.34847900000034,121.38289519999859,core,1279.27,0.87,0.87,0.5950000000000002,0.6631218665976413,0.1739999999999997,117.29922900000034,121.38289519999859,
1940.942857142857,1932.2285714285715,0.0,0.0,0.0,0.0,0.0,54.38658299999588,56.419083800000884,0.6428571428571429,500,chunk_fixed,6.0,"['long_us_fulfillment_2', 'long_eu_returns_2', 'long_refund_control_2', 'long_inventory_reservation_2', 'long_remote_shipping_2', 'long_chargeback_evidence_2', 'long_eu_ior_customs_2', 'long_preorder_policy_2', 'long_battery_shipping_2', 'long_vat_invoice_2', 'long_address_change_2', 'long_lost_parcel_2', 'long_customs_declaration_2', 'long_oversize_shipping_2', 'long_pickup_sla_2', 'long_return_warehouse_2', 'long_coupon_refund_2', 'long_marketplace_payout_2', 'long_fraud_review_2', 'long_account_verification_2', 'long_product_recall_2', 'long_listing_compliance_2', 'long_preorder_deposit_2', 'long_warehouse_cycle_count_2', 'long_carrier_claim_2', 'long_tax_withholding_2', 'long_delivery_signature_2', 'long_restricted_goods_2', 'long_payment_dispute_2', 'long_inventory_aging_2', 'long_packaging_recycling_2', 'long_export_control_2', 'long_delivery_attempt_2', 'long_seller_vacation_2']",1931.65,0.5,0.5,0.39166666666666666,0.418853559421529,0.10000000000000002,54.621666499997445,57.38969339999862,chunking,0.6428571428571429,hybrid,0.5076190476190477,420,70,chunk_fixed/size=500/overlap=0,0.5418081957932064,0,0.12857142857142834,140,54.24835450000032,56.79670444999765,core,1944.66,0.7,0.7,0.5540000000000002,0.5909900503418773,0.13999999999999982,53.94562550000259,56.20675030000192,
2177.6857142857143,2205.8571428571427,0.7714285714285715,0.7714285714285715,0.5280952380952381,0.588049633505524,0.15428571428571436,68.72466699999791,71.76017149999936,0.8214285714285714,500,chunk_fixed,7.5,,2204.9,0.675,0.7,0.47458333333333325,0.5192136738626149,0.1650000000000001,68.6920829999984,71.90388299999631,chunking,0.85,hybrid,0.6048809523809523,525,70,chunk_fixed/size=500/overlap=100,0.6479650957088265,100,0.1999999999999996,140,68.49222899999674,71.84172145000005,core,2166.8,0.88,0.91,0.657,0.6994656644473117,0.21399999999999966,68.49222899999674,71.1883964500057,
3540.285714285714,3577.342857142857,0.8857142857142857,0.8857142857142857,0.6709523809523809,0.7245437411542789,0.1771428571428572,36.73516599999971,38.552587299997754,0.9285714285714286,800,chunk_fixed,4.0,,3581.4,0.825,0.825,0.6945833333333333,0.7269847218112713,0.1650000000000001,36.61379149999888,38.15112470000521,chunking,0.9285714285714286,hybrid,0.803095238095238,280,70,chunk_fixed/size=800/overlap=0,0.8345086362397497,0,0.18571428571428528,140,36.60018749999594,38.66220144999488,core,3523.84,0.97,0.97,0.8465,0.877518202011141,0.19399999999999962,36.583562499998834,38.899397299999094,
3710.75,3736.4,0.7714285714285715,0.8857142857142857,0.7523809523809524,0.6834390851481514,0.3085714285714287,40.105707999998685,40.7951830000016,0.825,800,chunk_fixed,4.5,,3686.475,0.625,0.7,0.6070833333333333,0.5714814652143445,0.22000000000000006,40.11472900000257,40.78171314999465,chunking,0.8714285714285714,hybrid,0.748095238095238,315,70,chunk_fixed/size=800/overlap=160,0.7315327933951803,160,0.28999999999999954,140,40.040666500001265,41.2305872000033,core,3720.46,0.905,0.94,0.8045,0.7955533246675148,0.31799999999999945,40.00052099999962,41.2305872000033,
4893.285714285715,4890.828571428571,0.8857142857142857,0.8857142857142857,0.6219047619047618,0.6876957018977734,0.1771428571428572,22.68708400000463,24.308604400003727,0.9142857142857143,1200,chunk_fixed,2.5,,4908.35,0.8,0.8,0.6458333333333334,0.6846268032608155,0.1600000000000001,22.615666500001907,23.667560400004817,chunking,0.9142857142857143,hybrid,0.7757142857142857,175,70,chunk_fixed/size=1200/overlap=0,0.8105581479367177,0,0.18285714285714244,140,22.64593750000543,23.82178715000904,core,4887.26,0.96,0.96,0.8276666666666667,0.8609306858070787,0.19199999999999964,22.693708500007403,23.895545200004165,
4929.114285714286,4920.0,0.9142857142857143,0.9142857142857143,0.7147619047619046,0.7641681070752657,0.18285714285714294,26.86741699999118,27.597745599999257,0.9285714285714286,1200,chunk_fixed,3.0,,4929.15,0.8625,0.875,0.73625,0.7564661881496131,0.25500000000000006,26.898208500000464,28.043927399992437,chunking,0.9428571428571428,hybrid,0.844404761904762,210,70,chunk_fixed/size=1200/overlap=200,0.8510591280168953,200,0.2785714285714283,140,26.7935004999984,27.781489599993847,core,4929.1,0.955,0.97,0.8876666666666666,0.8888963039638083,0.28799999999999953,26.722667000001366,27.53137884999788,
1194.7285714285715,1205.9142857142858,0.7428571428571429,0.7428571428571429,0.5809523809523809,0.621546925053176,0.14857142857142863,88.21520800000826,92.52947960000455,0.8071428571428572,500,chunk_heading,10.0,,1114.0,0.65,0.65,0.5029166666666666,0.540077697168417,0.13000000000000006,88.14499999999725,91.12615835000213,chunking,0.8071428571428572,hybrid,0.6433333333333332,700,70,chunk_heading/size=500/overlap=100,0.684834760180962,100,0.1614285714285711,140,88.20802050000509,93.11332144999298,core,1227.02,0.87,0.87,0.6994999999999999,0.7427375853859803,0.1739999999999997,88.28404199999795,93.96914169999846,
4538.814285714286,4461.085714285714,0.8,0.8,0.5842857142857144,0.6389990683965598,0.16000000000000006,1.5640420000124777,1.7441286000035914,0.8464285714285714,1200,chunk_fixed,3.0,,4539.15,0.75,0.775,0.63,0.6479637855353826,0.22000000000000006,1.5195005000023798,1.9096999999973716,retriever_noise,0.8785714285714286,bm25,0.7597619047619049,210,70,core/bm25,0.7656495126605833,200,0.2623809523809521,140,1.5009580000011624,1.7360673000020197,core,4538.68,0.885,0.92,0.8116666666666665,0.8127238035106639,0.279333333333333,1.4927084999953877,1.6852295000056472,5
